FECHA;HORA;VOLTAJE (VAC);CORRIENTE  (A);POTENCIA (W);TEMPERATURA (°C);VELOCIDAD MECANICA (RPM);VIBRACIONES EJE X;NORMAL ;REVISION ;MANTENIMIENTO ;FALLA
26/2/2021;15:00:00;90;1,4;126;33,5;2900;250;;1;;
26/2/2021;15:00:01;90;1,3;117;33,1;2950;249;;1;;
26/2/2021;15:00:02;90;1,2;108;32,3;3000;247;;1;;
26/2/2021;15:00:03;90;1,4;126;32,7;3125;245;;1;;
26/2/2021;15:00:04;90;1,3;117;32,8;3000;255;;1;;
26/2/2021;15:00:05;90;1,4;126;32,3;3100;265;;1;;
26/2/2021;15:00:06;90;1,3;117;32,7;2950;245;;1;;
26/2/2021;15:00:06;90;1,4;126;32,8;3000;274;;1;;
26/2/2021;15:00:07;90;1,2;108;32,3;2925;239;;1;;
26/2/2021;15:00:08;90;1,4;126;32,7;3000;246;;1;;
26/2/2021;15:00:09;90;1,3;117;32,8;3125;247;;1;;
26/2/2021;15:00:10;90;1,2;108;32,5;3000;250;;1;;
26/2/2021;15:00:11;90;1,3;117;33,1;3100;249;;1;;
26/2/2021;15:00:12;90;1,3;117;32,1;2950;247;;1;;
26/2/2021;15:00:13;90;1,4;126;32,7;3000;245;;1;;
26/2/2021;15:00:14;90;1,2;108;33,5;2950;255;;1;;
26/2/2021;15:00:15;90;1,4;126;33,1;3000;265;;1;;
26/2/2021;15:00:16;90;1,2;108;32,3;3125;245;;1;;
26/2/2021;15:00:17;90;1,4;126;32,7;3000;274;;1;;
26/2/2021;15:00:18;90;1,3;117;32,8;3100;239;;1;;
26/2/2021;15:00:19;90;1,2;108;32,3;2950;246;;1;;
26/2/2021;15:00:20;90;1,3;117;32,7;3000;247;;1;;
26/2/2021;15:00:21;90;1,1;99;32,8;2925;250;;1;;
26/2/2021;15:00:22;90;1,4;126;32,3;3000;249;;1;;
26/2/2021;15:00:23;90;1,2;108;32,7;2900;247;;1;;
26/2/2021;15:00:24;90;1,4;126;32,8;2950;245;;1;;
26/2/2021;15:00:25;90;1,3;117;32,5;3000;255;;1;;
26/2/2021;15:00:26;90;1,2;108;33,1;3125;265;;1;;
26/2/2021;15:00:27;90;1,3;117;32,1;3000;245;;1;;
26/2/2021;15:00:28;90;1,3;117;32,8;3100;274;;1;;
26/2/2021;15:00:29;90;1,4;126;32,3;2950;239;;1;;
26/2/2021;15:00:30;90;1,2;108;32,7;3000;246;;1;;
26/2/2021;15:00:31;90;1,3;117;32,8;2925;247;;1;;
26/2/2021;15:00:32;90;1,4;126;32,5;3000;250;;1;;
26/2/2021;15:00:33;90;1,3;117;33,1;3125;249;;1;;
26/2/2021;15:00:34;90;1,4;126;32,1;3000;247;;1;;
26/2/2021;15:00:35;90;1,2;108;32,9;3100;245;;1;;
26/2/2021;15:00:36;90;1,4;126;31,9;2950;255;;1;;
26/2/2021;15:00:37;90;1,3;117;32,5;3000;265;;1;;
26/2/2021;15:00:38;90;1,2;108;33,1;2950;245;;1;;
26/2/2021;15:00:39;90;1,3;117;32,1;3000;274;;1;;
26/2/2021;15:00:40;90;1,3;117;32,7;3125;250;;1;;
26/2/2021;15:00:41;90;1,4;126;33,5;3000;249;;1;;
26/2/2021;15:00:42;90;1,2;108;33,1;3100;247;;1;;
26/2/2021;15:00:43;90;1,4;126;32,3;2950;245;;1;;
26/2/2021;15:00:44;90;1,2;108;32,7;3000;255;;1;;
26/2/2021;15:00:45;90;1,4;126;32,8;3195;265;;1;;
26/2/2021;15:00:46;90;1,3;117;32,3;3190;245;;1;;
26/2/2021;15:00:47;90;1,2;108;32,7;3185;274;;1;;
26/2/2021;15:00:48;90;1,3;117;32,8;3195;239;;1;;
26/2/2021;15:00:49;90;1,2;108;32,3;3200;246;;1;;
26/2/2021;15:00:50;90;1,4;126;32,7;2900;247;;1;;
26/2/2021;15:00:51;90;1,3;117;32,8;2950;250;;1;;
26/2/2021;15:00:52;90;1,2;108;32,5;3000;249;;1;;
26/2/2021;15:00:53;90;1,4;126;33,1;3125;247;;1;;
26/2/2021;15:00:54;90;1,3;117;32,1;3000;245;;1;;
26/2/2021;15:00:55;90;1,4;126;32,5;3100;255;;1;;
26/2/2021;15:00:56;90;1,3;117;33,1;2950;265;;1;;
26/2/2021;15:00:57;90;1,4;126;32,1;3000;245;;1;;
26/2/2021;15:00:58;90;1,2;108;32,1;2925;274;;1;;
26/2/2021;15:00:59;90;1,4;126;32,7;3000;239;;1;;
26/2/2021;15:01:00;90;1,3;117;32,3;3125;246;;1;;
26/2/2021;15:01:01;90;1,2;108;31,7;3000;247;;1;;
26/2/2021;15:01:02;90;1,3;117;31,8;3100;250;;1;;
26/2/2021;15:01:03;90;1,3;117;31,9;2950;249;;1;;
26/2/2021;15:01:04;90;1,4;126;32,5;3000;247;;1;;
26/2/2021;15:01:05;90;1,2;108;32,7;2950;245;;1;;
26/2/2021;15:01:06;90;1,4;126;33,5;3000;255;;1;;
26/2/2021;15:01:07;90;1,2;108;33,1;3125;265;;1;;
26/2/2021;15:01:08;90;1,4;126;32,3;3000;245;;1;;
26/2/2021;15:01:09;90;1,3;117;32,7;3100;274;;1;;
26/2/2021;15:01:10;90;1,2;108;32,8;2950;239;;1;;
26/2/2021;15:01:11;90;1,3;117;32,3;3000;246;;1;;
26/2/2021;15:01:12;90;1,1;99;32,7;3195;247;;1;;
26/2/2021;15:01:13;90;1,4;126;32,8;2900;250;;1;;
26/2/2021;15:01:14;90;1,2;108;32,3;2950;249;;1;;
26/2/2021;15:01:15;90;1,4;126;32,7;3000;247;;1;;
26/2/2021;15:01:16;90;1,3;117;32,8;3125;245;;1;;
26/2/2021;15:01:17;90;1,2;108;32,5;3000;255;;1;;
26/2/2021;15:01:18;90;1,3;117;33,1;3100;265;;1;;
26/2/2021;15:01:19;90;1,3;117;32,1;2950;245;;1;;
26/2/2021;15:01:20;90;1,4;126;32,9;3000;274;;1;;
26/2/2021;15:01:21;90;1,2;108;31,9;2925;221;;1;;
26/2/2021;15:01:22;90;1,3;117;32,5;3000;225;;1;;
26/2/2021;15:01:23;90;1,4;126;33,1;3125;250;;1;;
26/2/2021;15:01:24;90;1,3;117;32,1;3000;249;;1;;
26/2/2021;15:01:25;90;1,4;126;33,1;3100;247;;1;;
26/2/2021;15:01:26;90;1,2;108;33,5;2950;245;;1;;
26/2/2021;15:01:27;90;1,4;126;33,1;3000;255;;1;;
26/2/2021;15:01:28;90;1,3;117;32,3;2950;265;;1;;
26/2/2021;15:01:29;90;1,3;117;32,7;3000;245;;1;;
26/2/2021;15:01:30;90;1,2;108;32,8;3125;274;;1;;
26/2/2021;15:01:31;90;1,4;126;32,3;3000;239;;1;;
26/2/2021;15:01:32;90;1,3;117;32,7;3100;246;;1;;
26/2/2021;15:01:33;90;1,2;108;32,8;2950;247;;1;;
26/2/2021;15:01:34;90;1,4;126;32,3;3000;250;;1;;
26/2/2021;15:01:35;90;1,3;117;32,7;2925;249;;1;;
26/2/2021;15:01:36;90;1,4;126;32,8;3000;247;;1;;
26/2/2021;15:01:37;90;1,3;117;32,5;2900;245;;1;;
26/2/2021;15:01:38;90;1,4;126;33,1;2950;255;;1;;
26/2/2021;15:01:39;90;1,2;108;32,1;3000;265;;1;;
26/2/2021;15:01:40;90;1,4;126;33,1;3125;245;;1;;
26/2/2021;15:01:41;90;1,3;117;32,1;3000;274;;1;;
26/2/2021;15:01:42;90;1,2;108;33,1;3100;239;;1;;
26/2/2021;15:01:43;90;1,3;117;33,5;2950;246;;1;;
26/2/2021;15:01:44;90;1,3;117;33,1;3000;247;;1;;
26/2/2021;15:01:45;90;1,4;126;32,3;2925;250;;1;;
26/2/2021;15:01:46;90;1,2;108;32,7;3000;249;;1;;
26/2/2021;15:01:47;90;1,4;126;32,8;3125;247;;1;;
26/2/2021;15:01:48;90;1,2;108;32,3;3000;245;;1;;
26/2/2021;15:01:49;90;1,4;126;32,7;3100;255;;1;;
26/2/2021;15:01:50;90;1,3;117;32,8;2950;265;;1;;
26/2/2021;15:01:51;90;1,2;108;32,8;3000;245;;1;;
26/2/2021;15:01:52;90;1,3;117;32,3;2950;274;;1;;
26/2/2021;15:01:53;90;1,1;99;32,7;3000;239;;1;;
26/2/2021;15:01:54;90;1,4;126;32,8;3125;246;;1;;
26/2/2021;15:01:55;90;1,2;108;32,3;3000;247;;1;;
26/2/2021;15:01:56;90;1,4;126;32,7;3100;250;;1;;
26/2/2021;15:01:57;90;1,3;117;32,8;2950;249;;1;;
26/2/2021;15:01:58;90;1,2;108;32,5;3000;247;;1;;
26/2/2021;15:01:59;90;1,3;117;33,1;3195;245;;1;;
26/2/2021;15:02:00;90;1,3;117;32,1;3190;255;;1;;
26/2/2021;15:02:01;90;1,4;126;33,1;3185;265;;1;;
26/2/2021;15:02:02;90;1,2;108;32,1;3195;245;;1;;
26/2/2021;15:02:03;90;1,3;117;33,1;3200;274;;1;;
26/2/2021;15:02:04;90;1,4;126;32,8;2900;250;;1;;
26/2/2021;15:02:05;90;1,3;117;32,8;2950;249;;1;;
26/2/2021;15:02:06;90;1,4;126;32,3;3000;247;;1;;
26/2/2021;15:02:07;90;1,2;108;32,7;3125;245;;1;;
26/2/2021;15:02:08;90;1,4;126;32,8;3000;255;;1;;
26/2/2021;15:02:09;90;1,3;117;32,3;3100;265;;1;;
26/2/2021;15:02:10;90;1,4;126;32,7;2950;245;;1;;
26/2/2021;15:02:11;90;1,3;117;32,8;3000;274;;1;;
26/2/2021;15:02:12;90;1,2;108;32,5;2925;239;;1;;
26/2/2021;15:02:13;90;1,4;126;33,1;3000;246;;1;;
26/2/2021;15:02:14;90;1,3;117;32,1;3125;247;;1;;
26/2/2021;15:02:15;90;1,4;126;33,1;3000;250;;1;;
26/2/2021;15:02:16;90;1,3;117;32,1;3100;249;;1;;
26/2/2021;15:02:17;90;1,4;126;33,1;2950;247;;1;;
26/2/2021;15:02:18;90;1,2;108;32,8;3000;245;;1;;
26/2/2021;15:02:19;90;1,4;126;32,5;2950;255;;1;;
26/2/2021;15:02:20;90;1,3;117;33,1;3000;265;;1;;
26/2/2021;15:02:21;90;1,2;108;32,1;3125;245;;1;;
26/2/2021;15:02:22;90;1,3;117;33,1;3000;274;;1;;
26/2/2021;15:02:23;90;1,3;117;32,1;3100;239;;1;;
26/2/2021;15:02:24;90;1,4;126;33,1;2950;246;;1;;
26/2/2021;15:02:25;90;1,2;108;32,7;3000;247;;1;;
26/2/2021;15:02:26;90;1,4;126;32,8;3225;250;;1;;
26/2/2021;15:02:27;90;1,2;108;33,5;3195;249;;1;;
26/2/2021;15:02:28;90;1,4;126;33,1;3185;247;;1;;
26/2/2021;15:02:29;90;1,3;117;32,3;3200;245;;1;;
26/2/2021;15:02:30;90;1,2;108;32,7;3195;250;;1;;
26/2/2021;15:02:31;90;1,3;117;32,8;3190;249;;1;;
26/2/2021;15:02:32;90;1,1;99;32,3;3200;247;;1;;
26/2/2021;15:02:33;90;1,4;126;32,7;3225;245;;1;;
26/2/2021;15:02:34;90;1,2;108;32,8;3195;255;;1;;
26/2/2021;15:02:35;90;1,4;126;32,3;3185;265;;1;;
26/2/2021;15:02:36;90;1,3;117;32,7;3200;245;;1;;
26/2/2021;15:02:37;90;1,2;108;32,8;3195;274;;1;;
26/2/2021;15:02:38;90;1,3;117;32,5;3190;239;;1;;
26/2/2021;15:02:39;90;1,3;117;33,1;3185;246;;1;;
26/2/2021;15:02:40;90;1,4;126;32,1;3195;247;;1;;
26/2/2021;15:02:41;90;1,2;108;32,7;3200;250;;1;;
26/2/2021;15:02:42;90;1,3;117;33,5;3225;249;;1;;
26/2/2021;15:02:43;90;1,4;126;33,1;3195;247;;1;;
26/2/2021;15:02:44;90;1,3;117;32,3;3200;245;;1;;
26/2/2021;15:02:45;90;1,4;126;32,7;3195;255;;1;;
26/2/2021;15:02:46;90;1,2;108;32,8;3190;265;;1;;
26/2/2021;15:02:47;90;1,4;126;32,3;3185;245;;1;;
26/2/2021;15:02:48;90;1,3;117;32,7;3195;274;;1;;
26/2/2021;15:02:49;90;1,2;108;32,8;3200;239;;1;;
26/2/2021;15:02:50;90;1,3;117;32,3;3225;246;;1;;
26/2/2021;15:02:51;90;1,3;117;32,7;3195;247;;1;;
26/2/2021;15:02:52;90;1,4;126;32,8;3185;250;;1;;
26/2/2021;15:02:53;90;1,2;108;32,5;3200;249;;1;;
26/2/2021;15:02:54;90;1,4;126;33,1;3195;247;;1;;
26/2/2021;15:02:55;90;1,2;108;32,1;3190;245;;1;;
26/2/2021;15:02:56;90;1,4;126;32,8;3200;255;;1;;
26/2/2021;15:02:57;90;1,3;117;32,3;3225;265;;1;;
26/2/2021;15:02:58;90;1,2;108;32,7;3195;245;;1;;
26/2/2021;15:02:59;90;1,3;117;32,8;3185;274;;1;;
26/2/2021;15:03:00;90;1,2;108;32,5;3200;239;;1;;
26/2/2021;15:03:01;90;1,4;126;33,1;3200;246;;1;;
26/2/2021;15:03:02;90;1,3;117;32,1;3250;247;;1;;
26/2/2021;15:03:03;90;1,2;108;32,9;3200;250;;1;;
26/2/2021;15:03:04;90;1,4;126;31,9;2950;249;;1;;
26/2/2021;15:03:05;90;1,3;117;32,5;3000;247;;1;;
26/2/2021;15:03:06;90;1,4;126;33,1;3125;245;;1;;
26/2/2021;15:03:07;90;1,3;117;32,1;3000;255;;1;;
26/2/2021;15:03:08;90;1,4;126;32,7;3100;265;;1;;
26/2/2021;15:03:09;90;1,2;108;33,5;2950;245;;1;;
26/2/2021;15:03:10;90;1,4;126;33,1;3000;274;;1;;
26/2/2021;15:03:11;90;1,3;117;32,3;2925;250;;1;;
26/2/2021;15:03:12;90;1,2;108;32,7;3000;249;;1;;
26/2/2021;15:03:13;90;1,3;117;32,8;3125;247;;1;;
26/2/2021;15:03:14;90;1,3;117;32,3;3000;245;;1;;
26/2/2021;15:03:15;90;1,4;126;32,7;3100;255;;1;;
26/2/2021;15:03:16;90;1,2;108;32,8;2950;265;;1;;
26/2/2021;15:03:17;90;1,4;126;32,3;3000;245;;1;;
26/2/2021;15:03:18;90;1,2;108;32,7;2950;274;;1;;
26/2/2021;15:03:19;90;1,4;126;32,8;3000;239;;1;;
26/2/2021;15:03:20;90;1,3;117;32,5;3125;246;;1;;
26/2/2021;15:03:21;90;1,2;108;33,1;3000;247;;1;;
26/2/2021;15:03:22;90;1,3;117;32,1;3100;250;;1;;
26/2/2021;15:03:23;90;1,1;99;32,5;2950;249;;1;;
26/2/2021;15:03:24;90;1,4;126;33,1;3000;247;;1;;
26/2/2021;15:03:25;90;1,2;108;32,1;2925;245;;1;;
26/2/2021;15:03:26;90;1,4;126;32,1;3000;255;;1;;
26/2/2021;15:03:27;90;1,3;117;32,7;2900;265;;1;;
26/2/2021;15:03:28;90;1,2;108;32,3;2950;245;;1;;
26/2/2021;15:03:29;90;1,3;117;31,7;3000;274;;1;;
26/2/2021;15:03:30;90;1,3;117;31,8;3125;239;;1;;
26/2/2021;15:03:31;90;1,4;126;31,9;3000;250;;1;;
26/2/2021;15:03:32;90;1,2;108;32,5;3100;249;;1;;
26/2/2021;15:03:33;90;1,3;117;32,7;2950;247;;1;;
26/2/2021;15:03:34;90;1,4;126;33,5;3000;245;;1;;
26/2/2021;15:03:35;90;1,2;108;33,1;2925;255;;1;;
26/2/2021;15:03:36;90;1,1;99;32,3;3000;265;;1;;
26/2/2021;15:03:37;90;1,4;126;32,7;3125;245;;1;;
26/2/2021;15:03:38;90;1,3;117;32,8;3000;274;;1;;
26/2/2021;15:03:39;90;1,2;108;32,3;3100;239;;1;;
26/2/2021;15:03:40;90;1,4;126;32,7;2950;246;;1;;
26/2/2021;15:03:41;90;1,3;117;32,8;3000;247;;1;;
26/2/2021;15:03:42;90;1,4;126;32,3;2950;250;;1;;
26/2/2021;15:03:43;90;1,3;117;32,7;3000;249;;1;;
26/2/2021;15:03:44;90;1,4;126;32,8;3125;247;;1;;
26/2/2021;15:03:45;90;1,2;108;32,5;3000;245;;1;;
26/2/2021;15:03:46;90;1,4;126;33,1;3100;255;;1;;
26/2/2021;15:03:47;90;1,3;117;32,1;2950;265;;1;;
26/2/2021;15:03:48;90;1,2;108;32,9;3000;245;;1;;
26/2/2021;15:03:49;90;1,3;117;31,9;3195;274;;1;;
26/2/2021;15:03:50;90;1,3;117;32,5;3190;239;;1;;
26/2/2021;15:03:51;90;1,4;126;33,1;3185;246;;1;;
26/2/2021;15:03:52;90;1,2;108;32,1;3195;247;;1;;
26/2/2021;15:03:53;90;1,4;126;33,1;3200;250;;1;;
26/2/2021;15:03:54;90;1,2;108;33,5;2900;249;;1;;
