FECHA;HORA;VOLTAJE (VAC);CORRIENTE  (A);POTENCIA (W);TEMPERATURA (°C);VELOCIDAD MECANICA (RPM);VIBRACIONES EJE X;NORMAL ;REVISION ;MANTENIMIENTO ;FALLA;;;;;;;;;
24/2/2021;15:00:00;95;1,3;123,5;32,1;3200;225;;1;;;;0:00:01;;;;;;;
24/2/2021;15:00:01;95;1,2;114;33,1;3250;221;;1;;;;;;;;;;;
24/2/2021;15:00:02;95;1,1;104,5;31,6;3200;223;;1;;;;;;;;;;;
24/2/2021;15:00:03;95;1,4;133;31,8;3225;224;;1;;;;;;;;;;;
24/2/2021;15:00:04;95;1,3;123,5;31,9;3195;221;;1;;;;;;;;;;;
24/2/2021;15:00:05;95;1,4;133;32,5;3185;223;;1;;;;;;;;;;;
24/2/2021;15:00:06;95;1,1;104,5;32,7;3200;225;;1;;;;;;;;;;;
24/2/2021;15:00:06;95;1,4;133;32,8;3195;221;;1;;;;;;;;;;;
24/2/2021;15:00:07;95;1,2;114;31,8;3190;223;;1;;;;;;;;;;;
24/2/2021;15:00:08;95;1,4;133;32,9;3185;222;;1;;;;;;;;;;;
24/2/2021;15:00:09;95;1,3;123,5;31,9;3195;221;;1;;;;;;;;;;;
24/2/2021;15:00:10;95;1,2;114;32,5;3200;223;;1;;;;;;;;;;;
24/2/2021;15:00:11;95;1,1;104,5;33,1;3225;225;;1;;;;;;;;;;;
24/2/2021;15:00:12;95;1,1;104,5;32,1;3195;224;;1;;;;;;;;;;;
24/2/2021;15:00:13;95;1,4;133;32,7;3185;223;;1;;;;;;;;;;;
24/2/2021;15:00:14;95;1,1;104,5;32,3;3200;221;;1;;;;;;;;;;;
24/2/2021;15:00:15;95;1,4;133;31,7;3195;223;;1;;;;;;;;;;;
24/2/2021;15:00:16;95;1,2;114;31,8;3190;223;;1;;;;;;;;;;;
24/2/2021;15:00:17;95;1,4;133;31,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:00:18;95;1,3;123,5;32,5;3225;221;;1;;;;;;;;;;;
24/2/2021;15:00:19;95;1,2;114;32,7;3195;221;;1;;;;;;;;;;;
24/2/2021;15:00:20;95;1,1;104,5;32,8;3185;223;;1;;;;;;;;;;;
24/2/2021;15:00:21;95;1,1;104,5;31,8;3200;222;;1;;;;;;;;;;;
24/2/2021;15:00:22;95;1,4;133;32,9;3195;225;;1;;;;;;;;;;;
24/2/2021;15:00:23;95;1,2;114;31,9;3190;223;;1;;;;;;;;;;;
24/2/2021;15:00:24;95;1,4;133;32,5;3185;221;;1;;;;;;;;;;;
24/2/2021;15:00:25;95;1,3;123,5;33,1;3195;223;;1;;;;;;;;;;;
24/2/2021;15:00:26;95;1,2;114;32,1;3200;221;;1;;;;;;;;;;;
24/2/2021;15:00:27;95;1,1;104,5;33,1;3225;225;;1;;;;;;;;;;;
24/2/2021;15:00:28;95;1,1;104,5;31,6;3195;226;;1;;;;;;;;;;;
24/2/2021;15:00:29;95;1,4;133;31,8;3185;221;;1;;;;;;;;;;;
24/2/2021;15:00:30;95;1,1;104,5;31,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:00:31;95;1,1;104,5;32,5;3195;223;;1;;;;;;;;;;;
24/2/2021;15:00:32;95;1,4;133;32,7;3190;224;;1;;;;;;;;;;;
24/2/2021;15:00:33;95;1,3;123,5;32,8;3200;226;;1;;;;;;;;;;;
24/2/2021;15:00:34;95;1,4;133;31,8;3225;225;;1;;;;;;;;;;;
24/2/2021;15:00:35;95;1,1;104,5;32,9;3195;221;;1;;;;;;;;;;;
