#NUM;$FECHA;$HORA;$RPM;$CORR;$TEMP;$VIB;;
1;21/12/2020;10:00:00;150;0,82;17,6;0,07;;0:00:01
2;21/12/2020;10:00:01;350;0,82;18,3;0,05;;
3;21/12/2020;10:00:02;450;0,82;18,9;0,07;;
4;21/12/2020;10:00:03;800;0,82;19,6;0,09;;
5;21/12/2020;10:00:04;1200;0,83;22,1;0,11;;
6;21/12/2020;10:00:05;1750;0,83;24,3;0,03;;
7;21/12/2020;10:00:06;1900;0,83;26,6;0,04;;
8;21/12/2020;10:00:07;2100;0,83;28,3;0,05;;
9;21/12/2020;10:00:08;2900;0,83;28,1;0,07;;
10;21/12/2020;10:00:09;2850;0,82;28,5;0,04;;
11;21/12/2020;10:00:10;2800;0,82;28,3;0,03;;
12;21/12/2020;10:00:11;2925;0,82;28,1;0,02;;
13;21/12/2020;10:00:12;2850;0,83;28,3;0,05;;
14;21/12/2020;10:00:13;2950;0,83;28,5;0,05;;
15;21/12/2020;10:00:14;3000;0,83;29,3;0,09;;
16;21/12/2020;10:00:15;2950;0,83;29,1;0,11;;
17;21/12/2020;10:00:16;2850;0,83;29,3;0,07;;
18;21/12/2020;10:00:17;2800;0,83;28,9;0,09;;
19;21/12/2020;10:00:18;2925;0,82;29,1;0,04;;
20;21/12/2020;10:00:19;2850;0,82;29,3;0,07;;
21;21/12/2020;10:00:20;2950;0,82;29,3;0,05;;
22;21/12/2020;10:00:21;3000;0,83;29,5;0,07;;
23;21/12/2020;10:00:22;2950;0,83;29,3;0,11;;
24;21/12/2020;10:00:23;2800;0,83;29,3;0,08;;
25;21/12/2020;10:00:24;2925;0,82;29,5;0,05;;
26;21/12/2020;10:00:25;2900;0,83;29,3;0,03;;
27;21/12/2020;10:00:26;2800;0,83;29,1;0,4;;
28;21/12/2020;10:00:27;2750;0,83;29,1;0,02;;
29;21/12/2020;10:00:28;2900;0,87;29,3;0,03;;
30;21/12/2020;10:00:29;2850;0,87;29,1;0,04;;
31;21/12/2020;10:00:30;2950;0,89;29,3;0,03;;
32;21/12/2020;10:00:31;3000;0,89;29,3;0,03;;
33;21/12/2020;10:00:32;2950;0,89;29,5;0,03;;
34;21/12/2020;10:00:33;2850;0,89;29,3;0,02;;
35;21/12/2020;10:00:34;2800;0,89;29,5;0,07;;
36;21/12/2020;10:00:35;2925;0,89;29,3;0,02;;
37;21/12/2020;10:00:36;2850;0,88;29,1;0,05;;
38;21/12/2020;10:00:37;2950;0,89;29,1;0,02;;
39;21/12/2020;10:00:38;3000;0,87;29,3;0,02;;
40;21/12/2020;10:00:39;2950;0,89;29,1;0,03;;
41;21/12/2020;10:00:40;2800;0,89;29,3;0,03;;
42;21/12/2020;10:00:41;2925;0,87;29,3;0,03;;
43;21/12/2020;10:00:42;2900;0,89;29,5;0,04;;
44;21/12/2020;10:00:43;2800;0,87;29,3;0,06;;
45;21/12/2020;10:00:44;2750;0,87;29,5;0,03;;
46;21/12/2020;10:00:45;2900;0,87;29,3;0,11;;
47;21/12/2020;10:00:46;3000;0,87;28,3;0,03;;
48;21/12/2020;10:00:47;2950;0,87;28,1;0,04;;
49;21/12/2020;10:00:48;2800;0,87;28,3;0,03;;
50;21/12/2020;10:00:49;2925;0,87;28,3;0,03;;
51;21/12/2020;10:00:50;2900;0,87;28,3;0,03;;
52;21/12/2020;10:00:51;2800;0,87;28,3;0,02;;
53;21/12/2020;10:00:52;2750;0,87;28,5;0,03;;
54;21/12/2020;10:00:53;2900;0,87;28,1;0,02;;
55;21/12/2020;10:00:54;3000;0,87;28,3;0,03;;
56;21/12/2020;10:00:55;2950;0,87;28,5;0,05;;
57;21/12/2020;10:00:56;2800;0,87;29,3;0,09;;
58;21/12/2020;10:00:57;3000;0,87;29,1;0,2;;
59;21/12/2020;10:00:58;3000;0,87;29,3;0,08;;
60;21/12/2020;10:00:59;3000;0,87;29,3;0,05;;
61;21/12/2020;10:01:00;2850;0,83;28,3;0,04;;
62;21/12/2020;10:01:01;2950;0,82;28,5;0,05;;
63;21/12/2020;10:01:02;3000;0,82;29,3;0,07;;
64;21/12/2020;10:01:03;2950;0,82;29,1;0,04;;
65;21/12/2020;10:01:04;2850;0,83;29,3;0,03;;
66;21/12/2020;10:01:05;2800;0,83;28,9;0,02;;
67;21/12/2020;10:01:06;2925;0,83;29,1;0,05;;
68;21/12/2020;10:01:07;2850;0,82;29,3;0,05;;
69;21/12/2020;10:01:08;2950;0,83;29,3;0,09;;
70;21/12/2020;10:01:09;3000;0,83;29,5;0,11;;
71;21/12/2020;10:01:10;2950;0,83;29,3;0,07;;
72;21/12/2020;10:01:11;2800;0,87;29,3;0,09;;
73;21/12/2020;10:01:12;2925;0,87;29,5;0,04;;
